zone,timestamp,gesture_pred,ground_truth,case_id,pos_x,pos_y
1,1764351386.5378547,PALM,PALM,2,2158,1475
1,1764351387.0397208,PALM,PALM,2,2145,1470
1,1764351387.5460713,PALM,PALM,2,2089,1472
1,1764351388.0609534,PALM,PALM,2,2066,1483
1,1764351388.574927,PALM,PALM,2,2043,1496
1,1764351389.084625,PALM,PALM,2,2017,1507
1,1764351389.6045291,PALM,PALM,2,1991,1517
1,1764351390.1235569,PALM,PALM,2,1971,1537
1,1764351390.6253557,PALM,PALM,2,2030,1530
1,1764351391.1339161,PALM,PALM,2,2074,1504
1,1764351391.6502533,PALM,PALM,2,2139,1503
1,1764351392.1510127,PALM,PALM,2,2127,1487
1,1764351392.6668794,PALM,PALM,2,2067,1508
1,1764351396.2787776,FIST,FIST,3,2058,1523
1,1764351396.7908056,FIST,FIST,3,2054,1524
1,1764351397.3024676,FIST,FIST,3,2061,1501
1,1764351397.8078039,FIST,FIST,3,2079,1527
1,1764351398.3096225,FIST,FIST,3,2095,1584
1,1764351398.8253133,FIST,FIST,3,2144,1650
1,1764351399.3268304,FIST,FIST,3,2171,1631
1,1764351399.8467748,FIST,FIST,3,2121,1569
1,1764351400.3580256,FIST,FIST,3,2052,1553
1,1764351400.8745334,FIST,FIST,3,2015,1510
1,1764351401.3884141,FIST,FIST,3,1982,1476
1,1764351401.901678,FIST,FIST,3,1984,1410
1,1764351402.421382,FIST,FIST,3,2012,1368
1,1764351402.9515424,FIST,FIST,3,2045,1347
1,1764351403.4560206,FIST,FIST,3,2062,1344
1,1764351403.9605875,FIST,FIST,3,2064,1338
1,1764351404.4666772,FIST,FIST,3,2096,1326
1,1764351404.9806476,FIST,FIST,3,2135,1324
1,1764351405.4875398,FIST,FIST,3,2187,1321
1,1764351405.989773,,FIST,6,,
1,1764351406.5004597,,FIST,6,,
1,1764351407.0158937,,FIST,6,,
1,1764351407.5184417,,FIST,6,,
1,1764351408.0371785,,FIST,6,,
1,1764351408.562421,,FIST,6,,
1,1764351409.0859833,,FIST,6,,
1,1764351409.614886,,FIST,6,,
1,1764351410.12193,,FIST,6,,
1,1764351410.6357548,,FIST,6,,
1,1764351411.1417508,,FIST,6,,
1,1764351416.8245387,,PALM,5,,
1,1764351417.330454,,PALM,5,,
1,1764351417.8481276,PALM,PALM,2,1995,1376
1,1764351418.352863,PALM,PALM,2,1961,1401
1,1764351418.858528,PALM,PALM,2,1924,1431
1,1764351419.3788757,PALM,PALM,2,1923,1441
1,1764351419.9203742,PALM,PALM,2,1925,1478
1,1764351420.425921,PALM,PALM,2,1934,1427
1,1764351420.9681027,PALM,PALM,2,1963,1436
1,1764351421.4854677,PALM,PALM,2,1906,1506
1,1764351422.0035431,PALM,PALM,2,1871,1523
1,1764351422.513386,PALM,PALM,2,1867,1529
1,1764351423.0320141,PALM,PALM,2,1850,1545
1,1764351423.553381,PALM,PALM,2,1813,1570
1,1764351424.071143,PALM,PALM,2,1843,1468
1,1764351424.5740612,PALM,PALM,2,1902,1402
1,1764351425.0840528,PALM,PALM,2,1910,1362
1,1764351425.5881941,PALM,PALM,2,1961,1310
1,1764351426.1031349,PALM,PALM,2,1940,1303
1,1764351426.6199687,PALM,PALM,2,1941,1288
1,1764351427.1318657,PALM,PALM,2,2010,1236
1,1764351427.648499,PALM,PALM,2,2069,1213
1,1764351428.165215,PALM,PALM,2,2052,1226
1,1764351428.6750534,PALM,PALM,2,2059,1232
1,1764351429.1927373,PALM,PALM,2,2074,1243
1,1764351429.7135885,PALM,PALM,2,1984,1312
