zone,samples,accuracy_pct,consistency_pct,camera_to_interaction_ms,gesture_processing_ms,camera_to_detect_ms,case_1,case_2,case_3,case_4,case_5,case_6
1,118,78.8135593220339,16.666666666666664,0.04897117614746094,0.0,0.0,0,55,38,2,5,18
2,119,94.11764705882352,72.61904761904762,0.03862591971338323,0.0,0.0,0,58,54,1,0,6
3,119,94.11764705882352,44.57831325301205,0.04032892840249198,0.0,0.0,0,77,35,0,0,7
4,119,72.26890756302521,22.807017543859647,0.041432158891544786,0.0,0.0,0,58,28,0,18,15
5,121,71.900826446281,32.20338983050847,0.04497983238913796,0.0,0.0,0,41,46,1,28,5
6,120,71.66666666666667,0.0,0.045916769239637584,0.0,0.0,1,49,37,3,12,18
